t_caida	y_caida	t_ascenso	y_ascenso	r
26.34500	-0.00023667190	24.11500	-0.00120210700	0.00001905164
26.36000	-0.00024556750	24.13167	-0.00119179200	
26.37667	-0.00025173770	24.14833	-0.00118684900	
26.39333	-0.00025537200	24.16333	-0.00117447600	
26.41000	-0.00026296740	24.18000	-0.00117005700	
26.42667	-0.00026986550	24.19667	-0.00116072200	
26.44333	-0.00027528290	24.21333	-0.00115072200	
26.45833	-0.00028429430	24.23000	-0.00114435800	
26.47500	-0.00028722500	24.24667	-0.00113816200	
26.49167	-0.00029346040	24.26167	-0.00112872600	
26.50833	-0.00029600450	24.27833	-0.00112384700	
26.52500	-0.00030334270	24.29500	-0.00111750700	
26.54167	-0.00031084590	24.31167	-0.00110928000	
26.55667	-0.00031511080	24.50833	-0.00101113100	
26.57333	-0.00032158440	24.52500	-0.00100268800	
26.59000	-0.00033074250	24.54167	-0.00099463380	
26.60667	-0.00033385360	24.55667	-0.00099030960	
26.62333	-0.00034039500	24.57333	-0.00098226250	
26.64000	-0.00034568140	24.59000	-0.00097330370	
26.65500	-0.00035137940	24.60667	-0.00096975790	
26.67167	-0.00035843240	24.62333	-0.00096235500	
26.68833	-0.00036359040	24.64000	-0.00095334220	
26.70500	-0.00036875700	24.65500	-0.00094728270	
26.72167	-0.00037471230	24.67167	-0.00094342300	
26.73833	-0.00037964800	24.68833	-0.00092986850	
26.86833	-0.00043253370	24.70500	-0.00092291220	
26.88500	-0.00043623990	24.72167	-0.00091514550	
26.90167	-0.00044167090	24.73833	-0.00090718620	
26.91833	-0.00045067720	24.75333	-0.00090036180	
26.93500	-0.00045652930	24.77000	-0.00089236810	
26.95000	-0.00046332440	24.78667	-0.00088742620	
26.96667	-0.00046840980	24.80333	-0.00087788370	
26.98333	-0.00047388420	24.82000	-0.00087148890	
27.00000	-0.00048022880	24.83667	-0.00086210970	
27.03333	-0.00048570660	24.98333	-0.00079782770	
27.05000	-0.00049094390	25.00000	-0.00079380450	
27.06500	-0.00049688700	25.03333	-0.00078651020	
27.08167	-0.00050417330	25.05000	-0.00077590010	
27.09833	-0.00051031850	25.06500	-0.00076882540	
27.11500	-0.00051596720	25.08167	-0.00076342390	
27.13167	-0.00052133230	25.09833	-0.00075643760	
27.14833	-0.00052715270	25.11500	-0.00074775330	
27.16333	-0.00053303920	25.13167	-0.00073926640	
27.18000	-0.00053782750	25.14833	-0.00073191490	
27.19667	-0.00054471710	25.16333	-0.00072604930	
27.21333	-0.00055012070	25.18000	-0.00071728710	
27.23000	-0.00055609560	25.19667	-0.00071037070	
27.24667	-0.00056261010	25.21333	-0.00070362200	
27.26167	-0.00056879070	25.23000	-0.00069472240	
27.27833	-0.00057293970	25.24667	-0.00068711880	
27.29500	-0.00058038000	25.26167	-0.00067969730	
27.31167	-0.00058438760	25.27833	-0.00067171330	
27.47500	-0.00064414120	25.29500	-0.00066521510	
27.49167	-0.00065028000	25.31167	-0.00066100710	
27.50833	-0.00065396270	25.32833	-0.00065175190	
27.52500	-0.00066177490	25.34500	-0.00064604130	
27.54167	-0.00066603590	25.49167	-0.00057950500	
27.55667	-0.00067355530	25.50833	-0.00057338950	
27.57333	-0.00067995080	25.52500	-0.00056771220	
27.59000	-0.00068604640	25.54167	-0.00056421790	
27.60667	-0.00069223700	25.55667	-0.00055449810	
27.62333	-0.00069616990	25.57333	-0.00054449750	
27.64000	-0.00070139450	25.59000	-0.00053684770	
27.65500	-0.00070811800	25.60667	-0.00053044180	
27.67167	-0.00071477800	25.62333	-0.00052210670	
27.68833	-0.00072015090	25.64000	-0.00051626490	
27.70500	-0.00072652500	25.65500	-0.00050966920	
27.72167	-0.00073431810	25.67167	-0.00050156320	
27.73833	-0.00074090970	25.68833	-0.00049257490	
27.75333	-0.00074816720	25.70500	-0.00048666210	
27.77000	-0.00075621760	25.72167	-0.00048032700	
27.78667	-0.00076234070	25.73833	-0.00047444120	
27.80333	-0.00077041070	25.75333	-0.00046617860	
27.82000	-0.00077475100	25.77000	-0.00045846820	
27.83667	-0.00077957560	25.78667	-0.00045091010	
27.85167	-0.00078865230	25.80333	-0.00044467870	
27.86833	-0.00079493280	25.82000	-0.00043707710	
28.13167	-0.00088677000	25.83667	-0.00043178900	
28.14833	-0.00089610850	25.95000	-0.00037658790	
28.16333	-0.00090140770	25.96667	-0.00036983930	
28.18000	-0.00090765980	25.98333	-0.00036285880	
28.19667	-0.00091320100	26.00000	-0.00035611530	
28.21333	-0.00092076070	26.03333	-0.00034966120	
28.23000	-0.00092577920	26.05000	-0.00034445150	
28.24667	-0.00093150670	26.06500	-0.00033620810	
28.29500	-0.00095416490	26.08167	-0.00032993060	
28.32833	-0.00096872050	26.09833	-0.00032390940	
28.34500	-0.00097562940	26.11500	-0.00031818450	
28.36000	-0.00097944450	26.13167	-0.00030792070	
28.37667	-0.00098581050	26.14833	-0.00030316340	
28.39333	-0.00099083220	26.16333	-0.00029487120	
28.41000	-0.00099312570	26.18000	-0.00028608640	
28.44333	-0.00100849100	26.19667	-0.00028053030	
