t_caida	y_caida	t_ascenso	y_ascenso	r
16.36667	-0.00006280071	13.40000	-0.00099851770	0.00003195500
16.40000	-0.00007166397	13.43333	-0.00098701810	
16.43333	-0.00008397999	13.46667	-0.00097564370	
16.46667	-0.00009842671	13.50000	-0.00096555730	
16.50000	-0.00010898170	13.53333	-0.00095391760	
16.53333	-0.00012044930	13.56667	-0.00094554720	
16.56667	-0.00013060190	13.60000	-0.00093445780	
16.60000	-0.00014167750	13.63333	-0.00092331360	
16.63333	-0.00015050610	13.66667	-0.00091178850	
16.66667	-0.00015520900	13.70000	-0.00090129990	
16.90000	-0.00024737120	13.73333	-0.00088894240	
16.93333	-0.00025972070	13.76667	-0.00087897130	
16.96667	-0.00027351650	13.80000	-0.00086999390	
17.00000	-0.00028411600	14.06667	-0.00077762590	
17.03333	-0.00029508660	14.10000	-0.00076587280	
17.06667	-0.00030495720	14.13333	-0.00075631310	
17.10000	-0.00031801370	14.16667	-0.00074499450	
17.13333	-0.00032922500	14.20000	-0.00073289530	
17.16667	-0.00033842400	14.23333	-0.00072192480	
17.20000	-0.00035169650	14.26667	-0.00071140900	
17.23333	-0.00036121560	14.30000	-0.00070143430	
17.43333	-0.00044550650	14.33333	-0.00068944820	
17.46667	-0.00045618520	14.36667	-0.00068061980	
17.50000	-0.00046888050	14.40000	-0.00067086630	
17.53333	-0.00048198910	14.43333	-0.00066076190	
17.56667	-0.00049413190	14.46667	-0.00065517610	
17.60000	-0.00050724210	14.70000	-0.00057246680	
17.63333	-0.00052061580	14.73333	-0.00056651210	
17.66667	-0.00053428300	14.76667	-0.00055499680	
17.70000	-0.00054534600	14.80000	-0.00054376570	
17.73333	-0.00055653620	14.83333	-0.00053205040	
17.76667	-0.00056767170	14.86667	-0.00052109050	
17.80000	-0.00057659050	14.90000	-0.00051062020	
18.00000	-0.00065662970	14.93333	-0.00049772690	
18.03333	-0.00066677210	14.96667	-0.00048516610	
18.06667	-0.00067761950	15.00000	-0.00047695450	
18.10000	-0.00068732440	15.03333	-0.00046608170	
18.13333	-0.00070120330	15.06667	-0.00045502890	
18.16667	-0.00071165160	15.10000	-0.00044962300	
18.20000	-0.00072552170	15.13333	-0.00044474420	
18.23333	-0.00073550090	15.33333	-0.00036550500	
18.26667	-0.00074911280	15.36667	-0.00035829900	
18.30000	-0.00076017110	15.40000	-0.00034558000	
18.33333	-0.00077452190	15.43333	-0.00033395270	
18.36667	-0.00078298260	15.46667	-0.00032733840	
18.63333	-0.00087601260	15.50000	-0.00031976240	
18.66667	-0.00088634890	15.53333	-0.00030931740	
18.70000	-0.00089894140	15.56667	-0.00030281650	
18.73333	-0.00090883320	15.60000	-0.00029552220	
18.76667	-0.00092066140	15.63333	-0.00028673630	
18.80000	-0.00093887150	15.66667	-0.00027668600	
		15.70000	-0.00026990330	
		15.73333	-0.00025557530	
		15.76667	-0.00024745940	
		16.06667	-0.00015097600	
		16.10000	-0.00014488900	
		16.13333	-0.00013611100	
		16.16667	-0.00012563310	
		16.20000	-0.00011678530	
		16.23333	-0.00010364310	
		16.26667	-0.00009302302	
		16.30000	-0.00008336239	
		16.33333	-0.00007395695	
		16.36667	-0.00006280071	
