t_caida	y_caida	t_ascenso	y_ascenso	r
3.08E+01	7.78E-04	3.71E+01	-7.52E-05	2.98E-05
3.09E+01	7.75E-04	3.71E+01	-5.35E-05	
3.09E+01	7.71E-04	3.71E+01	-3.85E-05	
3.09E+01	7.66E-04	3.73E+01	3.62E-05	
3.10E+01	7.64E-04	3.73E+01	5.01E-05	
3.10E+01	7.61E-04	3.74E+01	6.20E-05	
3.10E+01	7.54E-04	3.74E+01	7.62E-05	
3.11E+01	7.50E-04	3.74E+01	8.92E-05	
3.11E+01	7.48E-04	3.75E+01	1.05E-04	
3.11E+01	7.41E-04	3.75E+01	1.17E-04	
3.12E+01	7.39E-04	3.75E+01	1.29E-04	
3.12E+01	7.35E-04	3.76E+01	1.42E-04	
3.12E+01	7.31E-04	3.76E+01	1.53E-04	
3.13E+01	7.25E-04	3.76E+01	1.65E-04	
3.13E+01	7.21E-04	3.78E+01	2.49E-04	
3.13E+01	7.18E-04	3.79E+01	2.62E-04	
3.14E+01	7.12E-04	3.79E+01	2.77E-04	
3.14E+01	7.09E-04	3.79E+01	2.90E-04	
3.14E+01	7.05E-04	3.80E+01	3.04E-04	
3.15E+01	7.00E-04	3.80E+01	3.16E-04	
3.15E+01	6.95E-04	3.80E+01	3.29E-04	
3.15E+01	6.94E-04	3.81E+01	3.44E-04	
3.16E+01	6.87E-04	3.81E+01	3.57E-04	
3.16E+01	6.79E-04	3.81E+01	3.72E-04	
3.16E+01	6.77E-04	3.83E+01	4.45E-04	
3.17E+01	6.73E-04	3.83E+01	4.58E-04	
3.17E+01	6.67E-04	3.84E+01	4.70E-04	
3.17E+01	6.63E-04	3.84E+01	4.83E-04	
3.18E+01	6.58E-04	3.84E+01	4.96E-04	
3.18E+01	6.55E-04	3.85E+01	5.08E-04	
3.18E+01	6.51E-04	3.85E+01	5.20E-04	
3.19E+01	6.47E-04	3.85E+01	5.35E-04	
3.23E+01	5.81E-04	3.86E+01	5.49E-04	
3.24E+01	5.78E-04	3.86E+01	5.64E-04	
3.24E+01	5.75E-04	3.86E+01	5.76E-04	
3.24E+01	5.71E-04	3.88E+01	6.62E-04	
3.25E+01	5.66E-04	3.89E+01	6.75E-04	
3.25E+01	5.62E-04	3.89E+01	6.89E-04	
3.25E+01	5.56E-04	3.89E+01	7.02E-04	
3.26E+01	5.52E-04	3.90E+01	7.14E-04	
3.26E+01	5.48E-04	3.90E+01	7.28E-04	
3.26E+01	5.43E-04	3.90E+01	7.45E-04	
3.27E+01	5.39E-04	3.91E+01	7.55E-04	
3.27E+01	5.38E-04	3.91E+01	7.69E-04	
3.27E+01	5.33E-04			
3.28E+01	5.27E-04			
3.28E+01	5.21E-04			
3.28E+01	5.16E-04			
3.29E+01	5.12E-04			
3.29E+01	5.07E-04			
3.29E+01	5.02E-04			
3.30E+01	4.98E-04			
3.30E+01	4.93E-04			
3.30E+01	4.87E-04			
3.31E+01	4.82E-04			
3.31E+01	4.78E-04			
3.31E+01	4.73E-04			
3.32E+01	4.67E-04			
3.32E+01	4.61E-04			
3.32E+01	4.58E-04			
3.33E+01	4.53E-04			
3.33E+01	4.50E-04			
3.33E+01	4.47E-04			
3.34E+01	4.42E-04			
3.38E+01	3.71E-04			
3.39E+01	3.65E-04			
3.39E+01	3.59E-04			
3.39E+01	3.57E-04			
3.40E+01	3.53E-04			
3.40E+01	3.47E-04			
3.40E+01	3.43E-04			
3.41E+01	3.39E-04			
3.41E+01	3.31E-04			
3.41E+01	3.26E-04			
3.42E+01	3.21E-04			
3.42E+01	3.16E-04			
3.42E+01	3.11E-04			
3.43E+01	3.05E-04			
3.43E+01	3.01E-04			
3.43E+01	2.97E-04			
3.44E+01	2.92E-04			
3.44E+01	2.88E-04			
3.44E+01	2.84E-04			
3.45E+01	2.82E-04			
3.45E+01	2.75E-04			
3.45E+01	2.71E-04			
3.46E+01	2.65E-04			
3.46E+01	2.60E-04			
3.46E+01	2.58E-04			
3.47E+01	2.53E-04			
3.47E+01	2.50E-04			
3.47E+01	2.44E-04			
3.48E+01	2.40E-04			
3.48E+01	2.36E-04			
3.48E+01	2.31E-04			
3.53E+01	1.68E-04			
3.53E+01	1.65E-04			
3.54E+01	1.61E-04			
3.54E+01	1.58E-04			
3.54E+01	1.54E-04			
3.55E+01	1.49E-04			
3.55E+01	1.44E-04			
3.55E+01	1.38E-04			
3.56E+01	1.33E-04			
3.56E+01	1.27E-04			
3.56E+01	1.24E-04			
3.57E+01	1.20E-04			
3.57E+01	1.16E-04			
3.57E+01	1.12E-04			
3.58E+01	1.07E-04			
3.58E+01	1.03E-04			
3.58E+01	9.97E-05			
3.59E+01	9.47E-05			
3.59E+01	9.07E-05			
3.59E+01	8.65E-05			
3.60E+01	8.30E-05			
3.60E+01	7.80E-05			
3.60E+01	7.43E-05			
3.61E+01	7.01E-05			
3.61E+01	6.49E-05			
3.61E+01	6.25E-05			
3.62E+01	5.72E-05			
3.62E+01	5.24E-05			
3.62E+01	4.74E-05			
3.63E+01	4.31E-05			
3.63E+01	3.82E-05			
3.63E+01	3.65E-05			
3.64E+01	3.28E-05			
3.64E+01	2.76E-05			
3.69E+01	-4.03E-05			
3.69E+01	-4.39E-05			
3.69E+01	-4.91E-05			
3.70E+01	-5.42E-05			
3.70E+01	-5.77E-05			
3.70E+01	-6.11E-05			
3.71E+01	-7.52E-05			
