carga	error
4.982913984	1.428425397
5.902296982	1.472373966
6.495610229	2.380356911
6.852761197	0.600964239
7.793042317	2.560559999
8.665193916	1.086297591
8.79654618	0.842124687
10.19195988	1.432936825
10.40578494	3.90509303
10.79453815	0.994086413
11.0599162	1.530192018
14.37813738	4.641033471
14.59865726	3.361693634
14.60637477	2.043294111
15.64112606	5.816697387
15.70591723	2.244875014
16.10881345	3.722088425
16.67176503	4.619861929
17.95998188	2.616360205
17.9930174	1.946980073
18.29300066	2.0477802
19.27650285	3.908629072
19.66405157	2.667409331
20.73200129	3.632712102
20.75571301	3.48461399
22.21873637	2.044030074
22.90976303	5.936743396
23.10532162	3.233676996
23.19509315	2.102174413
23.353072	4.436723163
23.59877658	3.118113654
23.74692558	2.561430456
24.022627	5.239172915
24.84484754	4.496602244
24.96940228	3.750746335
25.4754843	3.874430388
25.72139488	2.491014078
27.42951992	4.622973027
27.55078144	3.834760631
27.65370581	4.474520196
27.82076509	4.358704997
27.89507614	4.67481241
28.97023739	10.42926519
28.97505857	7.586730762
29.03534747	2.811105401
29.15582884	5.716950197
29.41746019	3.304644319
29.85318639	4.512426845
31.04795156	3.705661602
31.56916842	4.96027996
31.74957	3.393106308
32.95218442	7.073518255
34.5667854	4.251123317
35.28557219	5.381187712
35.47320609	5.970706086
36.19706704	5.539019481
37.00956987	5.846435072
37.25245393	5.367254391
37.62806183	5.575258425
37.853992	4.353661343
37.98325565	11.74201383
38.50162375	7.77150233
40.17774521	9.717889997
40.20440139	8.217159849
40.65070012	6.473204221
41.95845865	17.57350399
43.15863324	3.862152746
43.72282419	10.80111051
43.73358191	4.866784089
44.97325033	5.645338078
45.80623175	6.857519007
45.87862342	6.605188815
46.17586378	9.929435257
46.75973278	6.036208517
47.22770607	7.072028224
48.13069471	8.212308744
49.49809022	12.15785134
50.4039381	6.995359571
51.59954511	9.251338785
56.22407696	8.928502559
57.4676441	7.946555617
59.03805802	16.50715737
59.90019294	5.954600904
60.01374282	8.405626411
61.9034007	13.65035883
61.91261342	8.847538071
64.24424002	7.683125678
69.1800764	7.855413203
70.05006525	15.26873638
74.01717557	15.31479226
85.02224833	14.14151786
85.49081649	9.967688289
86.39090032	12.01527651
87.92573225	9.463928795
92.2221009	33.45213598
92.35146422	13.23408284
92.50765443	15.66232561
94.40218849	13.49855891
99.50885266	9.128640264
106.548523	8.92379098
109.9737383	11.5409374
111.3458043	12.21792502
113.5761648	18.25273986
130.2768578	15.34869984
140.6407775	29.60784268
172.6751097	48.22233366
177.3586913	29.18537743
