t_caida	y_caida	t_ascenso	y_ascenso	r
25.20000	-0.00070571500	24.06667	-0.00100217500	0.00003200802
25.23333	-0.00071614170	24.10000	-0.00099824740	
25.26667	-0.00072120500	24.13333	-0.00099379680	
25.30000	-0.00072663150	24.16667	-0.00098676530	
25.33333	-0.00073319630	24.20000	-0.00097651690	
25.36667	-0.00073918800	24.23333	-0.00096888140	
25.40000	-0.00075018570	24.26667	-0.00095836120	
25.43333	-0.00075605050	24.30000	-0.00094804310	
25.46667	-0.00076408240	24.33333	-0.00093604810	
25.50000	-0.00077208900	24.36667	-0.00092664890	
25.53333	-0.00077811700	24.40000	-0.00091359870	
25.56667	-0.00078257810	24.43333	-0.00090448470	
25.60000	-0.00078841120	24.46667	-0.00089499440	
25.86667	-0.00085876860	24.50000	-0.00088575600	
25.90000	-0.00086563550	24.53333	-0.00087581990	
25.93333	-0.00087596630	24.56667	-0.00086793050	
25.96667	-0.00088346290	24.60000	-0.00086045100	
26.00000	-0.00089318090	24.63333	-0.00085578940	
26.03333	-0.00090261030	24.93333	-0.00076720060	
26.06667	-0.00090816650	24.96667	-0.00075904630	
26.10000	-0.00091925570	25.00000	-0.00074890930	
26.13333	-0.00092607510	25.03333	-0.00074285880	
26.16667	-0.00093353940	25.06667	-0.00073472020	
26.20000	-0.00094087580	25.10000	-0.00072699410	
26.23333	-0.00095176500	25.13333	-0.00072000440	
26.26667	-0.00095973410	25.16667	-0.00070995030	
26.30000	-0.00096537850			
26.33333	-0.00097390100			
26.36667	-0.00098486940			
26.40000	-0.00099039590			
26.43333	-0.00099397160			
26.46667	-0.00100534400			
26.50000	-0.00100929600			
26.73333	-0.00107754500			
26.76667	-0.00108215000			
26.80000	-0.00109014600			
26.83333	-0.00109640700			
26.86667	-0.00110538100			
26.90000	-0.00111238800			
26.93333	-0.00112470600			
26.96667	-0.00113260100			
27.00000	-0.00114265200			
27.03333	-0.00114976900			
27.06667	-0.00115570200			
27.10000	-0.00116382900			
27.13333	-0.00117410600			
27.16667	-0.00118305900			
27.20000	-0.00119090100			
27.23333	-0.00119918600			
27.26667	-0.00120489000			
27.30000	-0.00120898000			
27.33333	-0.00121493300			
27.73333	-0.00131390200			
27.76667	-0.00131977800			
27.80000	-0.00132605600			
27.83333	-0.00133344400			
27.86667	-0.00134467800			
27.90000	-0.00134661500			
27.93333	-0.00135613800			
27.96667	-0.00136557400			
28.00000	-0.00137489600			
28.03333	-0.00138862200			
28.06667	-0.00139478000			
28.10000	-0.00140428300			
28.13333	-0.00141132000			
28.16667	-0.00141802200			
28.20000	-0.00142612600			
28.23333	-0.00143596800			
28.26667	-0.00144359700			
28.30000	-0.00144912600			
28.33333	-0.00145667400			
28.70000	-0.00155647700			
28.73333	-0.00156359100			
28.76667	-0.00157012200			
28.80000	-0.00158011000			
28.83333	-0.00158913600			
28.86667	-0.00159495600			
28.90000	-0.00160384600			
28.93333	-0.00161182600			
28.96667	-0.00161970800			
29.00000	-0.00162919100			
29.03333	-0.00163986400			
29.06667	-0.00164698300			
29.10000	-0.00165049700			
29.13333	-0.00165884700			
29.16667	-0.00166937300			
29.20000	-0.00167693700			
